no,jalan,seksyen,remark,muk_bdr,alamat_pepasangan,pic,jumlah_bilangan_unit_pengecas,long,kod_negeri,bil_,location_coordinate,ac_bay,kg_tmn,nam_par,lat,dc_bay,kod_daerah,a,ac,id_ev,tarikkkemaskini,nam_adm,catatan,kod_dun,nama_pemegang_lesen_,upi,jumlah_bay,kod_par,unit_tkt,negeri,nam_dun,bangunan,no__lesen,daerah,daerah_1,kapasiti_pepasangan__kw_,tempoh_sah_lesen,objectid,dc,geometry_x,geometry_y
NO. 196,JALAN SUNGAI TIRAM, ,,MUKIM 12,"NO. 196, BLOCK G, JALAN SULTAN AZLAN SHAH, SUNGAI TIRAM, 11900 BAYAN LEPAS  PULAU PINANG",,1,100.27132645,07,1175,"5.3012746824883905, 100.27132645002312",1,SUNGAI TIRAM,P.052 - BAYAN BARU,5.30127468,0,05,1,1,50012,1767052800000,DBD MUKIM 12,,N.37,EDARAN TAN CHONG MOTOR (UTARA) SDN. BHD.,070512000,1,P.052,BLOCK G,PULAU PINANG,N.37 - BATU MAUNG,HONDA VIVAHILL AUTO,LA 12/1/16/1371 (D-EVCS),DBD,BARAT DAYA,7,12/2/2025 - 11/2/2035,110,0,100.27132645000006,5.301274682000042
NO. 26,JALAN SULTAN AHMAD SHAH,SEK. 14,,GEORGE TOWN,"LEXUS PENANG, NO. 26, JALAN SULTAN AHMAD SHAH, 10050 GEORGETOWN  PULAU PINANG",,1,100.33349677,07,1182,"5.423226426783419, 100.33349676550863",0,,P.049 - TANJONG,5.42322643,2,04,1,0,40067,1767052800000,DTL GEORGE TOWN SEK. 14,,N.26,EV CONNECTION SDN BHD,070444014,2,P.049,,PULAU PINANG,N.26 - PADANG KOTA,LEXUS PENANG,LA 12/1/16/1386 (D-EVCS),DTL,TIMOR LAUT,60,25/2/2025 - 24/2/2035,111,1,100.33349676500006,5.423226427000031
89-A,JALAN SUNGAI PINANG,SEK. 9(w),,GEORGE TOWN,"VOLVO FEDERAL AUTO CAR, 89-A, JALAN SUNGAI PINANG, TAMAN PENANG, 10150 GEORGETOWN  PULAU PINANG",,4,100.32062055,07,1187,"5.405037448578675, 100.32062055166985",4,TAMAN PENANG,P.050 - JELUTONG,5.40503745,0,04,1,4,40068,1767052800000,DTL GEORGE TOWN SEK. 9(w),,N.29,FEDERAL AUTO CARS SDN. BHD.,070444025,4,P.050,,PULAU PINANG,N.29 - DATOK KERAMAT,VOLVO FEDERAL AUTO CAR,LA 12/1/16/1358 (D-EVCS),DTL,TIMOR LAUT,44,12/2/2025 - 11/2/2035,112,0,100.32062055200004,5.405037449000076
2,PERSIARAN MAHSURI, ,,MUKIM 12,"AMARI SPICE HOTEL PENANG, PERSIARAN MAHSURI, BAYAN BARU, 11900 BAYAN LEPAS  PULAU PINANG",,3,100.28104765,07,1194,"5.3302204744015, 100.28104764594147",3,BAYAN BARU,P.052 - BAYAN BARU,5.33022047,0,05,1,3,50021,1767052800000,DBD MUKIM 12,,N.36,GREEN EV CHARGE SDN BHD,070512000,3,P.052,,PULAU PINANG,N.36 - PANTAI JEREJAK,AMARI SPICE HOTEL PENANG,LA 12/1/16/1350 (D-EVCS),DBD,BARAT DAYA,55,20/2/2025 - 19/2/2035,113,0,100.28104764600005,5.330220474000043
,JALAN PABOI , ,,MUKIM 14,"ECOWORLD GALLERY @MEADOWS, LOT 730, JALAN PABOI MUKIM 14, SEBERANG PERAI SELATAN, 14100 SIMPANG AMPAT  PULAU PINANG",,1,100.46601279,07,1196,"5.258896607705068, 100.46601278789868",1,,P.046 - BATU KAWAN,5.25889661,0,03,1,1,30007,1767052800000,SPS MUKIM 14,,N.18,GREEN EV CHARGE SDN BHD,070314000,1,P.046,LOT 730,PULAU PINANG,N.18 - BUKIT TAMBUN,ECOWORLD GALLERY @MEADOWS,LA 12/1/16/1353 (D-EVCS),SPS,SEBERANG PERAI SELATAN,3.7,20/2/2025 - 19/2/2035,114,0,100.46601278800006,5.258896608000043
NO. 1114,JALAN PERINDUSTRIAN BUKIT MINYAK 18, ,,MUKIM 13,"NO. 1114, JALAN PERINDUSTRIAN BUKIT MINYAK 18, PENANG SCIENCE PARK, 14100 SIMPANG AMPAT  PULAU PINANG",,1,100.44571959,07,1207,"5.295025730352757, 100.4457195865758",0,PENANG SCIENCE PARK,P.046 - BATU KAWAN,5.29502573,2,01,1,0,10029,1767052800000,SPT MUKIM 13,,N.17,PIHAK BERKUASA PELAKSANAAN KORIDOR UTARA,070113000,2,P.046,,PULAU PINANG,N.17 - BUKIT TENGAH,NCER MALAYSIA,LA 12/1/16/1389 (D-EVCS),SPT,SEBERANG PERAI TENGAH,180,25/2/2025 - 24/2/2035,115,1,100.44571958700004,5.29502573000002
,, ,,MUKIM 12,"B. BRAUN MEDICAL INDUSTRIES SDN. BHD., B9, BAYAN LEPAS FREE INDUSTRIAL ZONE, 11900 BAYAN LEPAS  PULAU PINANG  ",,4,100.28465488,07,1219,"5.312386912684417, 100.28465488080086",4,BAYAN LEPAS FREE INDUSTRIAL ZONE,P.052 - BAYAN BARU,5.31238691,0,05,1,4,50013,1767052800000,DBD MUKIM 12,,N.37,B. BRAUN MEDICAL INDUSTRIES SDN. BHD.,070512000,4,P.052,B9,PULAU PINANG,N.37 - BATU MAUNG,B. BRAUN MEDICAL INDUSTRIES SDN. BHD.,LA 12/1/16/1423 (D-EVCS),DBD,BARAT DAYA,88,17/3/2025 - 16/3/2035,116,0,100.28465488100005,5.3123869130000685
,, ,,MUKIM 12,"B. BRAUN MEDICAL INDUSTRIES SDN. BHD. (B10, LEVEL 4), BAYAN LEPAS FREE INDUSTRIAL ZONE, 11900 BAYAN LEPAS  PULAU PINANG",,4,100.27884734,07,1220,"5.3081636477009155, 100.27884733860154",4,BAYAN LEPAS FREE INDUSTRIAL ZONE,P.052 - BAYAN BARU,5.30816365,0,05,0,4,50014,1767052800000,DBD MUKIM 12,,N.37,B. BRAUN MEDICAL INDUSTRIES SDN. BHD.,070512000,4,P.052,"(B10, LEVEL 4)",PULAU PINANG,N.37 - BATU MAUNG,B. BRAUN MEDICAL INDUSTRIES SDN. BHD.,LA 12/1/16/1449 (D-EVCS),DBD,BARAT DAYA,88,17/3/2025 - 16/3/2035,117,0,100.27884733900004,5.308163648000061
,JALAN SUNGAI AIR PUTIH, ,,MUKIM 4,"MBPP - MTT PROPERTIES & DEVELOPMENT SDN BHD BALIK PULAU, JALAN AIR PUTIH, 11000 BALIK PULAU PULAU PINANG",,1,100.21867977,07,1237,"5.372268821082081, 100.21867977055136",0,BANDAR BARU AIR PUTIH,P.053 - BALIK PULAU,5.37226882,2,05,0,0,50015,1767052800000,DBD MUKIM 4,,N.39,CHARGEHERE EV SOLUTION SDN BHD,070504000,2,P.053,,PULAU PINANG,N.39 - PULAU BETONG,(MBPP) MTT PROPERTIES & DEVELOPMENT SDN BHD BALIK PULAU,LA 12/1/16/1425 (D-EVCS),DBD,BARAT DAYA,60,11/3/2025 - 10/3/2035,118,1,100.21867977100004,5.372268821000034
9,JALAN ARRATOON,SEK. 13,,GEORGE TOWN,"(MBPP) JALAN ARRATOON, GEORGETOWN, 10050 GEORGETOWN  PULAU PINANG",,1,100.32307065,07,1238,"5.4227273929646564, 100.32307064635795",0,,P.049 - TANJONG,5.42272739,2,04,1,0,40071,1767052800000,DTL GEORGE TOWN SEK. 13,,N.26,CHARGEHERE EV SOLUTION SDN BHD,070444013,2,P.049,,PULAU PINANG,N.26 - PADANG KOTA,(MBPP) JALAN ARRATOON,LA 12/1/16/1426 (D-EVCS),DTL,TIMOR LAUT,60,11/3/2025 - 10/3/2035,119,1,100.32307064600008,5.422727393000059
63,LEBUH CINTRA,SEK. 18,,GEORGE TOWN,"(MBPP) LEBUH CINTRA, 63, LEBUH CINTRA, 10200 GEORGETOWN  PULAU PINANG",,1,100.33335763,07,1239,"5.417183467865353, 100.33335763388996",0,,P.049 - TANJONG,5.41718347,2,04,1,0,40072,1767052800000,DTL GEORGE TOWN SEK. 18,,N.28,CHARGEHERE EV SOLUTION SDN BHD,070444018,2,P.049,,PULAU PINANG,N.28 - KOMTAR,(MBPP) LEBUH CINTRA,LA 12/1/16/1427 (D-EVCS),DTL,TIMOR LAUT,60,11/3/2025 - 10/3/2035,120,1,100.33335763400004,5.417183468000076
312,JALAN LENGGONG,SEK. 1,,JELUTONG,"(MBPP) JALAN LENGGONG, JALAN LENGGONG (MBPP), JELUTONG, 11600 JELUTONG  PULAU PINANG",,1,100.31690993,07,1240,"5.395395206419256, 100.31690992583474",0,,P.050 - JELUTONG,5.39539521,2,04,1,0,40073,1767052800000,DTL JELUTONG SEK. 1,,N.31,CHARGEHERE EV SOLUTION SDN BHD,070445001,2,P.050,,PULAU PINANG,N.31 - BATU LANCANG,(MBPP) JALAN LENGGONG,LA 12/1/16/1460 (D-EVCS),DTL,TIMOR LAUT,60,11/3/2025 - 10/3/2035,121,1,100.31690992600005,5.395395206000046
,LEBUH UNION  (OPPOSITE HONG LEONG BANK),SEK. 20,,GEORGE TOWN,"(MBPP) LEBUH UNION, LEBUH UNION (OPPOSITE HONG LEONG BANK), 10200 GEORGETOWN  PULAU PINANG",,1,100.34212467,07,1244,"5.419338534554587, 100.34212466641499",0,,P.049 - TANJONG,5.41933853,2,04,1,0,40074,1767052800000,DTL GEORGE TOWN SEK. 20,,N.26,CHARGEHERE EV SOLUTION SDN BHD,070444020,2,P.049,,PULAU PINANG,N.26 - PADANG KOTA,MBPP - LEBUH UNION,LA 12/1/16/1502 (D-EVCS),DTL,TIMOR LAUT,60,28/3/2025 - 27/3/2035,122,1,100.34212466600007,5.419338535000065
,JALAN RAJAWALI, ,,MUKIM 12,"MARKET AND COMPLEX MBPP, JALAN RAJAWALI BAYAN LEPAS, 11900 BAYAN LEPAS PULAU PINANG",,1,100.26469807,07,1246,"5.306851471014047, 100.26469806557864",0,,P.053 - BALIK PULAU,5.30685147,2,05,1,0,50016,1767052800000,DBD MUKIM 12,,N.38,CHARGEHERE EV SOLUTION SDN BHD,070512000,2,P.053,,PULAU PINANG,N.38 - BAYAN LEPAS,MARKET AND COMPLEX MBPP,LA 12/1/16/1396 (D-EVCS),DBD,BARAT DAYA,60,28/3/2025 - 27/3/2035,123,1,100.26469806600005,5.306851471000073
,MEDAN KAMPUNG RELAU, ,,MUKIM 12,"(MBPP) MEDAN KAMPUNG RELAU KAMPUNG RELAU, 11900  BAYAN LEPAS PULAU PINANG",,1,100.29470381,07,1247,"5.3338993626150835, 100.29470380577071",0,KAMPUNG RELAU,P.052 - BAYAN BARU,5.33389936,2,05,1,0,50017,1767052800000,DBD MUKIM 12,,N.35,CHARGEHERE EV SOLUTION SDN BHD,070512000,2,P.052,,PULAU PINANG,N.35 - BATU UBAN,(MBPP) MEDAN KAMPUNG RELAU,LA 12/1/16/1402 (D-EVCS),DBD,BARAT DAYA,60,28/3/2025 - 27/3/2035,124,1,100.29470380600009,5.333899363000057
29,GAT LEBUH GEREJA,SEK. 23,,GEORGE TOWN,"(MBPP) GAT LEBUH GEREJA, GAT LEBUH GEREJA, 10200 GEORGETOWN  PULAU PINANG",,1,100.34335307,07,1248,"5.41599556237447, 100.34335306787783",0,,P.049 - TANJONG,5.41599556,2,04,1,0,40075,1767052800000,DTL GEORGE TOWN SEK. 23,,N.26,CHARGEHERE EV SOLUTION SDN BHD,070444023,2,P.049,,PULAU PINANG,N.26 - PADANG KOTA,(MBPP) GAT LEBUH GEREJA,LA 12/1/16/1408 (D-EVCS),DTL,TIMOR LAUT,60,11/3/2025 - 10/3/2035,125,1,100.34335306800006,5.415995562000035
,LEBUH DICKENS,SEK. 15,,GEORGE TOWN,"(MBPP) LEBUH DICKENS, LEBUH DICKENS, 10050 GEORGETOWN  PULAU PINANG",,1,100.33075,07,1250,"5.418976189839436, 100.33074999671558",0,,P.049 - TANJONG,5.41897619,2,04,1,0,40076,1767052800000,DTL GEORGE TOWN SEK. 15,,N.28,CHARGEHERE EV SOLUTION SDN BHD,070444015,2,P.049,,PULAU PINANG,N.28 - KOMTAR,(MBPP) LEBUH DICKENS,LA 12/1/16/1416 (D-EVCS),DTL,TIMOR LAUT,60,11/3/2025 - 10/3/2035,126,1,100.33074999700005,5.4189761900000235
,CANGKAT BUKIT BELAH 2, ,,MUKIM 11,"(MBPP) PASAR TELUK KUMBAR, TELUK KUMBAR HEIGHT, 11950 BAYAN LEPAS  PULAU PINANG",,1,100.24933375,07,1251,"5.288707717932579, 100.2493337456527",0,TELUK KUMBAR HEIGHTS,P.053 - BALIK PULAU,5.28870772,2,05,1,0,50018,1767052800000,DBD MUKIM 11,,N.38,CHARGEHERE EV SOLUTION SDN BHD,070511000,2,P.053,,PULAU PINANG,N.38 - BAYAN LEPAS,(MBPP) PASAR TELUK KUMBAR,LA 12/1/16/1417 (D-EVCS),DBD,BARAT DAYA,60,11/3/2025 - 10/3/2035,127,1,100.24933374600005,5.288707718000069
,LEBUH RELAU, ,,MUKIM 13,"(MBPP) KOMPLEKS SUKAN RELAU LEBUH RELAU, 11900  BAYAN LEPAS PULAU PINANG",,1,100.27159751,07,1252,"5.342162750535287, 100.27159751219453",0,,P.051 - BUKIT GELUGOR,5.34216275,2,04,0,0,40077,1767052800000,DTL MUKIM 13,,N.34,CHARGEHERE EV SOLUTION SDN BHD,070401000,2,P.051,,PULAU PINANG,N.34 - PAYA TERUBONG,(MBPP) KOMPLEKS SUKAN RELAU,LA 12/1/16/1429 (D-EVCS),DTL,TIMOR LAUT,60,11/3/2025 - 10/3/2035,128,1,100.27159751200008,5.342162751000046
,JALAN TANJUNG TOKONG,SEK. 2,,TANJONG TOKONG,"(MBPP) PRECINCT 10 JALAN TANJUNG TOKONG, 10470  TANJUNG TOKONG PULAU PINANG",,1,100.30551849,07,1253,"5.448702518404718, 100.30551849053856",0,,P.048 - BUKIT BENDERA,5.44870252,2,04,1,0,40078,1767052800000,DTL TANJONG TOKONG SEK. 2,,N.25,CHARGEHERE EV SOLUTION SDN BHD,070447002,2,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,(MBPP) PRECINCT 10 ,LA 12/1/16/1430 (D-EVCS),DTL,TIMOR LAUT,60,11/3/2025 - 10/3/2035,129,1,100.30551849000005,5.4487025180000614
,JALAN TAN SRI TEH EWE LIM ,SEK. 2,,JELUTONG,"JALAN TAN SRI TEH EWE LIM (MBPP), JELUTONG, 11600 GEORGETOWN  PULAU PINANG",,1,100.30599856,07,1254,"5.393011159038582, 100.30599855643658",0,,P.050 - JELUTONG,5.39301116,2,04,1,0,40079,1767052800000,DTL JELUTONG SEK. 2,,N.31,CHARGEHERE EV SOLUTION SDN BHD,070445002,2,P.050,,PULAU PINANG,N.31 - BATU LANCANG,(MBPP) RHB BANK,LA 12/1/16/1431 (D-EVCS),DTL,TIMOR LAUT,60,11/3/2025 - 10/3/2035,130,1,100.30599855600008,5.393011159000025
,JALAN BUKIT PERMAI, ,,MUKIM 13,"(MBPP) PASAR JALAN PERMAI JALAN BUKIT GAMBIR, 11700  GELUGOR PULAU PINANG",,1,100.3015198,07,1256,"5.371861918479777, 100.30151980108639",0,TAMAN TUN SARDON,P.051 - BUKIT GELUGOR,5.37186192,2,04,1,0,40080,1767052800000,DTL MUKIM 13,,N.32,CHARGEHERE EV SOLUTION SDN BHD,070401000,2,P.051,,PULAU PINANG,N.32 - SERI DELIMA,(MBPP) PASAR JALAN PERMAI,LA 12/1/16/1433 (D-EVCS),DTL,TIMOR LAUT,60,28/3/2025 - 27/3/2035,131,1,100.30151980100004,5.371861918000036
,LENGKOK KELICAP, ,,MUKIM 11,"(MBPP) LENGKOK KELICAP (PASAR, OUTDOOR CARPARK NEAR TO FOODCOURT), MUTIARA PERDANA, 11900 BAYAN LEPAS  PULAU PINANG",,1,100.25767012,07,1259,"5.300511136836748, 100.25767012473692",0,MUTIARA PERDANA,P.053 - BALIK PULAU,5.30051114,2,05,0,0,50019,1767052800000,DBD MUKIM 11,,N.38,CHARGEHERE EV SOLUTION SDN BHD,070511000,2,P.053,,PULAU PINANG,N.38 - BAYAN LEPAS,(MBPP) PASAR LENGKOK KELICAP,LA 12/1/16/1441 (D-EVCS),DBD,BARAT DAYA,60,11/3/2025 - 10/3/2035,132,1,100.25767012500006,5.300511137000058
88,JALAN MASJID NEGERI (BERHADAPAN BERJAYA PENANG OFFICE),SEK. 5,,GEORGE TOWN,"(MBPP) JALAN MASJID NEGERI (BERHADAPAN BERJAYA PENANG OFFICE), TAMAN GUAN JOO SENG, 11600 GEORGETOWN  PULAU PINANG",,1,100.30250105,07,1260,"5.390698290335126, 100.30250104590898

100.30250104590898",0,TAMAN GUAN JOO SENG,P.051 - BUKIT GELUGOR,5.39069829,2,04,1,0,40081,1767052800000,DTL GEORGE TOWN SEK. 5,,N.32,CHARGEHERE EV SOLUTION SDN BHD,070444005,2,P.051,,PULAU PINANG,N.32 - SERI DELIMA,(MBPP) JALAN MASJID NEGERI,LA 12/1/16/1442 (D-EVCS),DTL,TIMOR LAUT,60,11/3/2025 - 10/3/2035,133,1,100.30250104600003,5.390698290000046
,GURNEY DRIVE,SEK. 4,,GEORGE TOWN,"11 GURNEY DRIVE, BANDAR GEORGETOWN DAERAH TIMOR LAUT , 10250 GEORGETOWN PULAU PINANG",,3,100.31986605,07,1273,"5.429942562863969, 100.31986605139797",3,,P.048 - BUKIT BENDERA,5.42994256,0,04,1,3,40082,1767052800000,DTL GEORGE TOWN SEK. 4,,N.25,CHARGEPLUS SDN BHD,070444004,3,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,11 GURNEY DRIVE,LA 12/1/16/1543 (D-EVCS),DTL,TIMOR LAUT,66,27/3/2025 - 26/3/2035,134,0,100.31986605100008,5.429942563000054
170,GURNEY DRIVE,SEK. 1,,GEORGE TOWN,"GURNEY PLAZA, 170, GURNEY DR, PULAU TIKUS, 10250 GEORGETOWN  PULAU PINANG",,2,100.30978902,07,1293,"5.437970653237164, 100.30978901925143",0,,P.048 - BUKIT BENDERA,5.43797065,2,04,1,0,40083,1767052800000,DTL GEORGE TOWN SEK. 1,,N.25,GREEN EV CHARGE SDN BHD,070444001,2,P.048,,PULAU PINANG,N.25 - PULAU TIKUS,GURNEY PLAZA,LA 12/1/16/1312 (D-EVCS),DTL,TIMOR LAUT,7.4,11/3/2025 - 10/3/2035,135,2,100.30978901900005,5.437970653000036
,JALAN TOKONG BATU,SEK. 1,,JELUTONG,"STRAITS GARDEN SUITE, JELUTONG GEORGETOWN, 11600 GEORGETOWN PULAU PINANG",,2,100.31724034,07,1304,"5.394894535761975, 100.3172403351639",2,,P.050 - JELUTONG,5.39489454,0,04,1,2,40084,1767052800000,DTL JELUTONG SEK. 1,,N.30,LEADING INNOVATIVE TECHNOLOGIES & SYSTEMS SDN BHD,070445001,2,P.050,,PULAU PINANG,N.30 - SUNGAI PINANG,STRAITS GARDEN SUITE JELUTONG,LA 12/1/16/1458 (D-EVCS),DTL,TIMOR LAUT,44,6/3/2025 - 5/3/2035,136,0,100.31724033500006,5.394894536000038
NO. 8,JALAN ABBAS, ,,TANJONG BUNGAH,"SPRINGTIDE RESIDENCES, SUBBASEMENT CAR PARK LOT 85 & 87, NO. 8, JALAN ABBAS, TANJUNG BUNGAH, 11200 TANJUNG BUNGAH PULAU PINANG",,2,100.301026,07,1308,"5.464374158597986, 100.30102599498656",2,TANJUNG BUNGAH,P.048 - BUKIT BENDERA,5.46437416,0,04,1,2,40085,1767052800000,DTL TANJONG BUNGAH,,N.22,PERBADANAN PENGURUSAN SPRINGTIDE RESIDENCES,070446000,2,P.048,SUBBASEMENT  CAR PARK LOT 85 & 87,PULAU PINANG,N.22 - TANJONG BUNGA,SPRINGTIDE RESIDENCES,LA 12/1/16/1422 (D-EVCS),DTL,TIMOR LAUT,44,17/3/2025 - 16/3/2035,137,0,100.30102599500003,5.4643741590000445
,JALAN ROZHAN, ,,MUKIM 15,"AEON MALL BUKIT MERTAJAM, LOT 30908, JALAN ROZHAN, ALMA, 14000 BUKIT MERTAJAM PULAU PINANG",,2,100.47717239,07,1314,"5.320686500579303, 100.47717238520605",0,,P.045 - BUKIT MERTAJAM,5.3206865,4,01,1,0,10028,1767052800000,SPT MUKIM 15,,N.14,TNBX SDN. BHD.,070115000,4,P.045,,PULAU PINANG,N.14 - MACHANG BUBUK,AEON MALL BUKIT MERTAJAM,LA 12/1/16/1411 (D-EVCS),SPT,SEBERANG PERAI TENGAH,94,5/3/2025 - 4/3/2035,138,2,100.47717238500007,5.320686501000068
,JALAN BAYAN INDAH, ,,MUKIM 12,"QUEENS RESIDENCES Q1, VISITOR PARKING, PERSIARAN BAYAN INDAH, JALAN BAYAN INDAH, 11900 BAYAN LEPAS  PULAU PINANG",,1,100.30916397,07,1366,"5.332278068601224, 100.30916397052151",1,PERSIARAN BAYAN INDAH,P.052 - BAYAN BARU,5.33227807,0,05,1,1,50020,1767052800000,DBD MUKIM 12,,N.36,GREENERGY EV SDN BHD,070512000,1,P.052,VISITOR PARKING,PULAU PINANG,N.36 - PANTAI JEREJAK,QUEENS RESIDENCES Q1,LA 12/1/16/1226(D-EVCS),DBD,BARAT DAYA,22,23/4/2025 - 22/4/2035,139,0,100.30916397000004,5.33227806900004
,JALAN PETER PAUL DASON,SEK. 1,,TANJONG PINANG,"CITY OF DREAMS PENANG, BLOCK A, PARKING LOT 36 & 42, JALAN PETER PAUL DASON, BANDAR SERI TANJUNG TOKONG, 10470 TANJUNG TOKONG  PULAU PINANG",,2,100.31022404,07,1367,"5.44566754676195, 100.31022403905654",2,BANDAR SERI TANJUNG TOKONG,P.048 - BUKIT BENDERA,5.44566755,0,04,1,2,40087,1767052800000,DTL TANJONG PINANG SEK. 1,,N.22,GREENERGY EV SDN BHD,070448001,2,P.048,"BLOCK A, PARKING LOT 36 & 42",PULAU PINANG,N.22 - TANJONG BUNGA,CITY OF DREAMS PENANG,LA 12/1/16/1394 (D-EVCS),DTL,TIMOR LAUT,44,23/4/2025 - 22/4/2035,140,0,100.31022403900005,5.445667547000028
239A,JALAN SULTAN AZLAN SHAH, ,,MUKIM 12,"ICONIC MARJORIE HOTEL (LEVEL 1), 239A, JALAN SULTAN AZLAN SYAH, 11900 BAYAN LEPAS  PULAU PINANG",,2,100.29896732,07,1370,"5.338046640806016, 100.2989673247372",2,KAMPUNG SUNGAI NIBONG,P.052 - BAYAN BARU,5.33804664,0,05,0,2,50022,1767052800000,DBD MUKIM 12,,N.36,ICONIC PENANG SDN. BHD.,070512000,2,P.052,(LEVEL 1),PULAU PINANG,N.36 - PANTAI JEREJAK,ICONIC MARJORIE HOTEL,LA 12/1/16/1527 (D-EVCS),DBD,BARAT DAYA,44,4/4/2025 - 3/4/2035,141,0,100.29896732500004,5.338046641000062
,JALAN PANTAI SINARAN,SEK. 8,,GEORGE TOWN,"VISITOR PARKING GROUND FLOOR (LEVEL G), THE LIGHT LINEAR - BLOCK A, LOT A1-1, LRAYA JELUTONG, 11600 GEORGETOWN  PULAU PINANG",,2,100.31580827,07,1374,"5.36261256064661, 100.31580827261782",2,,P.051 - BUKIT GELUGOR,5.36261256,0,04,0,2,40089,1767052800000,DTL GEORGE TOWN SEK. 8,,N.32,POWERBEE SDN BHD,070444008,2,P.051,VISITOR PARKING GROUND FLOOR (LEVEL G),PULAU PINANG,N.32 - SERI DELIMA,THE LIGHT LINEAR ,LA 12/1/16/1562 (D-EVCS),DTL,TIMOR LAUT,44,11/4/2025 - 10/4/2035,142,0,100.31580827300007,5.362612561000049
NO. 23,PERSIARAN PAYA TERUBONG 4, ,,MUKIM 13,"LOT PARKING GROUND FLOOR, SIERRA EAST CONDOMINIUM, NO. 23, PERSIARAN PAYA TERUBONG 4, TAMAN SRI AMAN, 11900 BAYAN LEPAS, PULAU PINANG",,3,100.27797917,07,1387,"5.3364778244940405, 100.2779791663972",3,TAMAN SRI AMAN,P.051 - BUKIT GELUGOR,5.33647782,0,04,1,3,40025,1773532800000,DTL MUKIM 13,,N.34,APHESIS CAPITAL SDN BHD,070401000,3,P.051,LOT PARKING GROUND FLOOR,PULAU PINANG,N.34 - PAYA TERUBONG,SIERRA EAST CONDOMINIUM,LA 12/1/16/1592 (D-EVCS),DTL,TIMOR LAUT,66,5/5/2025 - 4/5/2035,143,0,100.27797916600008,5.336477824000042
,PERSIARAN NURI, ,,MUKIM 12,"REFLECTIONS CONDOMINIUM, LOT 70049, PERSIARAN NURI, BAYAN LEPAS, 12, 11900 BARAT DAYA, PULAU PINANG",,2,100.26015923,07,1392,"5.303514538977849, 100.26015923010424",2,SETIA PEARL ISLAND,P.053 - BALIK PULAU,5.30351454,0,05,1,2,50023,1773532800000,DBD MUKIM 12,,N.38,CHARGE N GO SDN BHD,070512000,2,P.053,LOT 70049,PULAU PINANG,N.38 - BAYAN LEPAS,REFLECTIONS CONDOMINIUM,LA 12/1/16/1632 (D-EVCS),DBD,BARAT DAYA,44,9/5/2025 - 8/5/2035,144,0,100.26015923000006,5.303514539000048
,PERSIARAN CASSIA UTROPOLIS, ,,MUKIM 13,"SINARAN AVENUE (COMMERCIAL), LOT 21923, PERSIARAN CASSIA UTROPOLIS, BANDAR CASSIA, MUKIM 13, SEBERANG PERAI SELATAN, 14110 PULAU PINANG",,2,100.43933484,07,1397,"5.241709001304849, 100.43933483804179",2,BANDAR CASSIA,P.046 - BATU KAWAN,5.241709,0,03,1,2,30010,1773532800000,SPS MUKIM 13,,N.18,CHARGE N GO SDN BHD,070313000,2,P.046,LOT 21923,PULAU PINANG,N.18 - BUKIT TAMBUN,SINARAN AVENUE (COMMERCIAL),LA 12/1/16/1627 (D-EVCS),SPS,SEBERANG PERAI SELATAN,44,9/5/2025 - 8/5/2035,145,0,100.43933483800004,5.241709001000061
,JALAN TANJUNG BUNGAH, ,,TANJONG BUNGAH,"ONE TANJONG, BLOCK B, JALAN TANJUNG BUNGAH, TANJUNG BUNGAH, 11200 PULAU PINANG",,1,100.29376618,07,1401,"5.466513187236661, 100.29376618013073",0,TANJUNG BUNGAH,P.048 - BUKIT BENDERA,5.46651319,2,04,1,0,40092,1773532800000,DTL TANJONG BUNGAH,,N.22,CHARGEHERE EV SOLUTION SDN BHD,070446000,2,P.048,BLOCK B,PULAU PINANG,N.22 - TANJONG BUNGA,ONE TANJONG,LA 12/1/16/1558 (D-EVCS),DTL,TIMOR LAUT,40,7/5/2025 - 6/5/2035,146,1,100.29376618000003,5.466513187000032
PLOT 13,LORONG PERUSAHAAN 6, ,,MUKIM 6,"FLEXTRONICS TECHNOLOGY, PLOT 13, PHASE 4, LORONG PERUSAHAAN 6, KAWASAN PERINDUSTRIAN PRAI, 13600 PERAI, PULAU PINANG",,3,100.41481445,07,1402,"5.351441441709816, 100.41481445132985",3,KAWASAN PERINDUSTRIAN PRAI,P.046 - BATU KAWAN,5.35144144,0,01,1,3,10030,1773532800000,SPT MUKIM 6,,N.17,CHARGEHERE EV SOLUTION SDN BHD,070106000,3,P.046,PHASE 4,PULAU PINANG,N.17 - BUKIT TENGAH,FLEXTRONICS TECHNOLOGY,LA 12/1/16/1560 (D-EVCS),SPT,SEBERANG PERAI TENGAH,33,7/5/2025 - 6/5/2035,147,0,100.41481445100004,5.351441442000066
